qA,OmegaA,qB,OmegaB,OmegaT,Probability,Na:,Nb:,qT:
34,5.807174297E+026,46,7.347099819E+028,4.266589E+055,2.5900832968E-02,,,
35,1.095067153E+027,45,6.144847121E+028,6.729020E+055,4.0849313709E-02,,,
36,1.977204582E+027,44,4.937823580E+028,9.763087E+055,5.9267977480E-02,,,
37,3.420029547E+027,43,3.811653290E+028,1.303597E+056,7.9136379603E-02,,,
38,5.670048987E+027,42,2.825880887E+028,1.602288E+056,9.7268807779E-02,,,
39,9.013924030E+027,41,2.011644021E+028,1.813281E+056,1.1007734700E-01,,,
40,1.374623415E+028,40,1.374623415E+028,1.889590E+056,1.1470976869E-01,,,
41,2.011644021E+028,39,9.013924030E+027,1.813281E+056,1.1007734700E-01,,,
42,2.825880887E+028,38,5.670048987E+027,1.602288E+056,9.7268807779E-02,,,
43,3.811653290E+028,37,3.420029547E+027,1.303597E+056,7.9136379603E-02,,,
44,4.937823580E+028,36,1.977204582E+027,9.763087E+055,5.9267977480E-02,,,
45,6.144847121E+028,35,1.095067153E+027,6.729020E+055,4.0849313709E-02,,,
46,7.347099819E+028,34,5.807174297E+026,4.266589E+055,2.5900832968E-02,,,
47,8.441348728E+028,33,2.946924270E+026,2.487602E+055,1.5101279558E-02,,,
48,9.320655888E+028,32,1.430125013E+026,1.332970E+055,8.0919540280E-03,,,
49,9.891308289E+028,31,6.632463831E+025,6.560374E+054,3.9825529437E-03,,,
50,1.008913445E+029,30,2.937233982E+025,2.963415E+054,1.7989760583E-03,,,
51,9.891308289E+028,29,1.241084781E+025,1.227595E+054,7.4522620475E-04,,,
52,9.320655888E+028,28,4.998813702E+024,4.659222E+053,2.8284359961E-04,,,
53,8.441348728E+028,27,1.917353201E+024,1.618505E+053,9.8253243184E-05,,,
54,7.347099819E+028,26,6.995748165E+023,5.139846E+052,3.1202043444E-05,,,
55,6.144847121E+028,25,2.425192697E+023,1.490244E+052,9.0467015657E-06,,,
56,4.937823580E+028,24,7.977607557E+022,3.939202E+051,2.3913391122E-06,,,
57,3.811653290E+028,23,2.486527031E+022,9.477779E+050,5.7535978639E-07,,,
58,2.825880887E+028,22,7.332066885E+021,2.071955E+050,1.2578046612E-07,,,
59,2.011644021E+028,21,2.041841411E+021,4.107458E+049,2.4934810276E-08,,,
60,1.374623415E+028,20,5.359833704E+020,7.367753E+048,4.4726815933E-09,,,
61,9.013924030E+027,19,1.323415729E+020,1.192917E+048,7.2417431180E-10,,,
62,5.670048987E+027,18,3.066451080E+019,1.738693E+047,1.0554940304E-10,,,
63,3.420029547E+027,17,6.650134873E+018,2.274366E+046,1.3806806594E-11,,,
64,1.977204582E+027,16,1.345860629E+018,2.661042E+045,1.6154169173E-12,,,
65,1.095067153E+027,15,2.533384713E+017,2.774226E+044,1.6841269581E-13,,,
66,5.807174297E+026,14,4.418694268E+016,2.566013E+043,1.5577284232E-14,,,
67,2.946924270E+026,13,7110542499799199,2.095423E+042,1.2720513458E-15,,,
68,1.430125013E+026,12,1050421051106700,1.502233E+041,9.1194857509E-17,,,
69,6.632463831E+025,11,141629804643600,9.393546E+039,5.7024630001E-18,,,
70,2.937233982E+025,10,17310309456440,5.084443E+038,3.0865712429E-19,,,
71,1.241084781E+025,9,1902231808400,2.360831E+037,1.4331703651E-20,,,
72,4.998813702E+024,8,186087894300,9.302187E+035,5.6470027972E-22,,,
73,1.917353201E+024,7,16007560800,3.069215E+034,1.8632031618E-23,,,
74,6.995748165E+023,6,1192052400,8.339298E+032,5.0624697755E-25,,,
75,2.425192697E+023,5,75287520,1.825867E+031,1.1084144351E-26,,,
76,7.977607557E+022,4,3921225,3.128199E+029,1.8990104767E-28,,,
77,2.486527031E+022,3,161700,4.020714E+027,2.4408221417E-30,,,
78,7.332066885E+021,2,4950,3.629373E+025,2.2032538956E-32,,,
79,2.041841411E+021,1,100,2.041841E+023,1.2395239919E-34,,,
80,5.359833704E+020,0,1,5.359834E+020,3.2537504787E-37,,,
